2,0.4,1.5,0.5,0.9
%,4.49,131,34,
1,1,4.5,1.7,0.3
%,,,,
2,,,,
%,5.69,295,-15,
3,0,2,9.9,1
%,,,,
2,,,,
%,4.49,332,-40,
4,0.7,5.47,9.9,0.1
%,5.11,340,-29,
5,0.6,0.6,1.2,0
%,4.85,225,26,
6,0.4,0.3,1,0
%,3.63,144,42,
3,,,,
%,7,231,3,
7,1.1,0.5,0.9,0
%,5,190,44,
8,,,,
%,,,,
3,,,,
%,5.7,154,25,
9,0.3,0.6,0,0.15
%,,,,
3,,,,
%,8.17,85,-8,
10,0.4,9.43,1,0
%,2.04,145,45,
11,0,3.95,0.25,1.05
%,3.75,247,9,
2,,,,
%,,,,
5,,,,
%,1.72,120,-35,
12,2,1,0,0.5
%,3.45,165,-15,
13,5.1,2,0.5,0
%,2.46,93,-10,
14,5.96,3.56,0,1.1
%,2.65,124,-53,
15,99,1.2,0.6,99
%,3.3,171,3,
16,99,1.4,0.3,0.3
%,,,,
15,,,,
%,2.95,78,15,
17,99,2.95,0,0.6
%,,,,
18,99,3.5,0,0.5
%,1.53,300,-2,
17,,,,
%,,,,
18,,,,
%,3.29,91,-29,
19,99,2.81,1,0.8
%,4.48,98,-25,
20,99,2,,
%,1.84,160,-14,
21,,5.23,,
%,4.49,70,-43,
22,2.9,2.2,0,1.1
%,,,,
23,6,2,0,0.6
%,4.31,348,65,
22,,,,
%,,,,
23,,,,
%,4.23,64,-5,
24,99,2,0,0.5
%,2.28,97,-29,
25,99,2,0.4,0
%,1.75,35,-34,
26,99,1.2,0,0.3
%,2.97,89,-60,
27,20,2.5,1.2,0
%,,,,
28,99,1.7,0,1.1
%,1.95,219,17,
27,,,,
%,,,,
28,,,,
%,0.98,109,12,
29,99,1.9,0.8,0
%,6.46,49,47,
30,6,1.5,,
%,4.87,81,11,
31,20,1.6,,
%,,,,
30,,,,
%,3.92,146,15,
32,8,0.7,99,1
%,,,,
31,,,,
%,4.39,323,41,
33,0,1.4,1.6,0.5
%,6.56,180,-26,
32,,,,
%,,,,
30,,,,
%,13.57,155,65,
34,5,5.5,1,0
%,,,,
31,,,,
%,1.81,173,-45,
35,4,0.9,1.4,0
%,11.82,80,-30,
36,,,,
%,,,,
37,1,0.6,1,1.5
%,9.07,112,-5,
36,,,,
%,2.85,186,8,
38,1.5,,,
%,,,,
36,,,,
%,4.1,164,-9,
39,1.9,1.8,1.1,0
%,7.03,105,-10,
40,2.2,0.7,0,1
%,7.23,136,14,
41,,,,
%,5.33,83,-25,
42,0,1.9,1,0.8
%,8.81,111,-29,
43,,,,
